OFFICE,SGD.NUMBER,SGD.DATE,IMPORTER.TIN,FOB.VALUE,CIF.VALUE,TARIFF.DESCRIPTION,QUANTITE,TOTAL.TAXES,GROSS.WEIGHT,HS6,OFFICEHS6,SGD.WeekofYear
OO121,12434.0,13/05/2022,XA11X2II5F,1522320,1522320,- Ciments non pulv�ris�s dits �clinkers�,1.0,3806.0,49760,252310.0,ML121252310,19.0
OO121,33947.0,22/06/2021,XA11X2II5F,1623680,1623680,- Ciments non pulv�ris�s dits �clinkers�,1.0,4059.0,50740,252310.0,ML121252310,25.0
OO899,10871.0,15/04/2021,XA5126A12D,10180574,10180574,---- Gas-oil,45000.0,5036403.0,39015,271019.0,ML899271019,15.0
OO801,10511.0,01/06/2022,XA22I9IXAN,19000000,19000000,- D�une teneur en poids de mati�res grasses exc�dant 1�% mais n�exc�dant pas 6�%,831.0,8375200.0,3000,40120.0,ML801040120,22.0
OO104,37190.0,29/06/2022,XA22XE51KA,450000,450000,--- Autres,125.0,1125.0,2250,210390.0,ML104210390,26.0
OO340,2847.0,02/09/2021,XIIXXX29EW,800000,800000,-- Fra�ches,1.0,144000.0,16000,80310.0,ML340080310,35.0
OO241,5142.0,05/05/2022,X21XX1I91W,1500000,1500000,Pr�parations antigel et liquides pr�par�s pour d�givrage.,816.0,3750.0,10000,382000.0,ML241382000,18.0
OO899,25887.0,25/09/2022,XAI2X19IXG,1429736,1429736,--- Super carburant,55000.0,0.0,42350,271012.0,ML899271012,39.0
OO805,16968.0,03/12/2021,XE1XXEK22X,5075028,5075028,-- Autres,1.0,116728.0,1705,843139.0,ML805843139,49.0
OO320,17878.0,02/07/2022,XA5126A12D,16615475,16615475,--- Super carburant,45000.0,5934976.0,34650,271012.0,ML320271012,27.0
OO104,6425.0,26/01/2021,X11X19AXKH,30000,30000,"-- En caoutchouc alv�olaire ou en mati�res plastiques alv�olaires, recouverts ou non",15.0,75.0,300,940421.0,ML104940421,4.0
OO205,7540.0,10/12/2021,XA51E5KI5X,9293674,9293674,- Des types utilis�s pour autobus ou camions,82.0,3000001.0,5088,401120.0,ML802401120,50.0
OO205,1229.0,14/03/2022,XA51EI512K,1361156,1361156,- Stylos et crayons � bille,52.0,600000.0,1255,960810.0,ML802960810,11.0
OO205,7352.0,26/11/2021,XAIIIKK21R,1075386,1075386,- Whiskies,197.0,1250001.0,2858,220830.0,ML802220830,48.0
OO320,2372.0,11/07/2021,XA61EA55KE,3343250,3343250,-- Autres,1000.0,601785.0,50000,252329.0,ML320252329,28.0
OO899,23364.0,06/06/2022,XA512K65KN,271154,271154,---- Gas-oil,45000.0,5424.0,39015,271019.0,ML899271019,23.0
OO899,4145.0,12/02/2021,XAII115AKL,19355220,19355220,--- Super carburant,55000.0,11509453.0,42350,271012.0,ML899271012,7.0
OO801,7095.0,29/03/2022,XA22XE51KA,19324800,19324800,--- Autres,2640.0,3478464.0,52800,151190.0,ML801151190,13.0
OO104,43772.0,24/07/2022,X11XX151IB,15000,15000,"-- Autres, obtenues � partir de lames ou formes similaires de poly�thyl�ne ou de polypro",1.0,38.0,150,630533.0,ML104630533,30.0
OO205,7417.0,29/11/2021,XAKAXX1IEV,216082,216082,-- Pompes,2.0,57005.0,2,841381.0,ML205841381,48.0
OO121,55138.0,08/10/2021,XA22XE51KA,6000000,6000000,- Riz en brisures,800.0,15000.0,40000,100640.0,ML121100640,41.0
OO899,19350.0,13/05/2022,XAI1X2112R,37887,37887,---- Gas-oil,38000.0,304394.0,32946,271019.0,ML899271019,19.0
OO100,13049.0,03/09/2022,XA22E1K2EW,15000,15000,- D'autres mati�res textiles,1.0,6612.0,150,630590.0,ML100630590,36.0
OO121,34223.0,23/06/2021,XAKAXX59XV,4500000,4500000,- Chlorure de potassium,1000.0,11250.0,50000,310420.0,ML121310420,25.0
OO104,101511.0,15/12/2021,XAII115AKL,6000000,6000000,--- Super carburant,45000.0,15000.0,34650,271012.0,ML104271012,50.0
OO370,1722.0,20/09/2022,XAIII2619T,4537201,4537201,- Cahiers,5200.0,2000002.0,24000,482020.0,ML802482020,38.0
OO805,9321.0,04/07/2022,XA11XE19XG,7045000,7045000,-- Autres houilles,1.0,162035.0,50000,270119.0,ML805270119,27.0
